Case,CL,CD,Cp_1,Cp_2,Cp_3,Cp_4,Cp_5,Cp_6,Cp_7,Cp_8,Cp_9
AOA_-20_GUST_20,1.5242684549855623,0.5539185175157281,-1.2277248105555572,-1.8476023297052815,-1.8578647209985961,-1.7045487463875995,0.0513352614042,1.2126231938634133,0.7584979876897205,0.3934746745713098,0.18999540487488928
AOA_-20_GUST_20,1.5645873334207592,0.575052553031265,-1.4426091705324007,-1.8401785872704222,-1.8276539758884416,-1.6642272184421878,0.06657372957749727,1.2238508980041525,0.7687181764120282,0.4022368851824436,0.19846212178868158
AOA_-20_GUST_20,1.6075909538688222,0.596998427285501,-1.6757001009556136,-1.8287730923329624,-1.7982306385029345,-1.6266696627050177,0.08148663344554735,1.235923316062546,0.7808294574906585,0.4140284268279051,0.21112555249262827
AOA_-20_GUST_20,1.6539536313428689,0.6205676910678682,-1.9254478215609034,-1.8091416104825941,-1.7701466635946592,-1.5909236401865487,0.09589014711174752,1.247824309340657,0.7934848536358144,0.4270711054775278,0.2253771291860967
AOA_-20_GUST_20,1.7691188366149122,0.6755210589586668,-2.4019494010116533,-2.024665454054822,-1.945667241790877,-1.7233454779997235,-0.029918046204605822,1.1389678681003934,0.6948651849402824,0.32220229781475584,0.09223382928264229
AOA_-20_GUST_20,1.7409121633540654,0.6660741158532578,-2.359027344024905,-1.7812605093816516,-1.7233350671250678,-1.533914276620692,0.11650523547676134,1.2681779529434167,0.8144032301493033,0.4461948599648714,0.24327845626804456
AOA_-20_GUST_20,1.7686321026273006,0.6820758837353882,-2.460517369329588,-1.7568887575849896,-1.6942037241653778,-1.5054442557900845,0.12660447563036326,1.277806310844214,0.8246705770495784,0.4554015382859242,0.25148393867034446
AOA_-20_GUST_20,1.7946273685505592,0.6969483372469991,-2.500659320318986,-1.733588830443865,-1.6657243638462635,-1.4779469150620028,0.13691225995744508,1.2895505854221194,0.8385071955858413,0.4695840247368455,0.2648359441593165
AOA_-20_GUST_20,1.8079284686514108,0.7077905818033624,-2.4846554967944114,-1.7126756836909787,-1.6402502020363308,-1.4520327250748248,0.14451875041824755,1.2970372768600078,0.8465337262694552,0.47514004935969534,0.26491470358573793
AOA_-20_GUST_20,1.8708373064426425,0.7436235049408122,-2.665162017312729,-1.9127561358043126,-1.806532530062309,-1.5828282160176077,0.018143922918035793,1.1843723610705028,0.7411519791881782,0.35833646621250576,0.10867962280728832
AOA_-20_GUST_20,1.783660667885984,0.711095680109869,-2.3241191633222003,-1.658142621184434,-1.5734636217262317,-1.3857571009703789,0.16668813806285668,1.3090119169710754,0.8561801944787768,0.47612178252168497,0.2447340198189087
AOA_-20_GUST_20,1.7237298967607153,0.6969288630188984,-2.1937655740859867,-1.6056914378589937,-1.5188098633193967,-1.3349158210513434,0.18468098715614217,1.3098469261658439,0.8489006031912484,0.45781554359532994,0.2070024893627724
AOA_-20_GUST_20,1.6480074899491062,0.6779379236571197,-2.054894044022021,-1.543892821684222,-1.4551396675381298,-1.2748073216124762,0.21293914105239517,1.312307445279777,0.8421407705903625,0.4402774574281212,0.16615168487234108
AOA_-20_GUST_20,1.5425090013415235,0.650639210013828,-1.917296686043776,-1.472153444856302,-1.3749662607556832,-1.1952173939427946,0.2532727678622904,1.312796303624135,0.8274056520679989,0.41042146129888635,0.10537139636562831
AOA_-20_GUST_20,1.4725861191641154,0.6470343430322175,-2.0433979655528955,-1.6224582693875975,-1.4756298451135068,-1.2584974864343672,0.16763415713641444,1.1843444527943006,0.6833783707426988,0.2380175864830273,-0.13494903207155204
AOA_-20_GUST_20,1.2726762920878505,0.5832729744115707,-1.6893144991841669,-1.3073172361760488,-1.1647381097919993,-0.9830103068208591,0.3764805608329245,1.3070486597546727,0.7752913788646945,0.3220538541177661,-0.05725145641749936
AOA_-20_GUST_20,1.1177048578218398,0.5436479161965758,-1.566554496748311,-1.192621767605678,-1.0252134469459262,-0.8538746545803009,0.4596443246857671,1.3071180237131281,0.7430645037720767,0.27076477207196736,-0.13945901232156313
AOA_-20_GUST_20,1.0074608475007756,0.5190013302720217,-1.4801831538685266,-1.1023914037409885,-0.9015930380597447,-0.7375208338633288,0.5457488080437012,1.3125265699976758,0.722819391293507,0.24030695313397543,-0.19256106070230994
AOA_-20_GUST_20,0.9244212255465755,0.5018683040788358,-1.414479203011279,-1.017539832084326,-0.7890701020852326,-0.6339470575806014,0.6292281784261927,1.3154462664961644,0.7034212760423675,0.21525668085268423,-0.2313813425635868
AOA_-20_GUST_20,0.8117899769042475,0.46708051185838056,-1.1779805588377883,-0.7606361656905437,-0.5348969757837155,-0.4132738198038021,0.8131904640661429,1.4190590210589542,0.7791698342430109,0.2914666374152273,-0.1418998460089132
AOA_-20_GUST_20,0.813652071748178,0.4790143132402817,-1.3191131825049478,-0.8644158620158521,-0.6215306344005729,-0.47079176870102374,0.7566742966093915,1.3178510432726616,0.6737177570746462,0.18623719858105825,-0.26996841969196167
AOA_-20_GUST_20,0.7416692013510421,0.45620164071317343,-1.253742330234312,-0.7890915301200885,-0.552005101896144,-0.41068248359699877,0.8031503370147459,1.311375506132386,0.6487700170360016,0.1597005794848371,-0.29695234261506764
