Case,CL,CD,Cp_1,Cp_2,Cp_3,Cp_4,Cp_5,Cp_6,Cp_7,Cp_8,Cp_9
AOA_-4_GUST_20,1.7381932696445361,0.6482182527899596,-2.14314329131313,-1.722744458418805,-1.7434073956882672,-1.5936702894046653,-0.23244837342945612,1.139262398155525,0.8058537877538992,0.4661914374129709,0.2451590145045977
AOA_-4_GUST_20,1.7682377713383728,0.6650902502384076,-2.281884509684197,-1.692864758227483,-1.7204658467182006,-1.5653487965242217,-0.231104218255331,1.1432123774120284,0.813899097910244,0.4735984367518108,0.250408199324156
AOA_-4_GUST_20,1.7892643120057772,0.6780380119045569,-2.354055096591199,-1.6588867489420025,-1.6990281858892058,-1.5414546863735623,-0.22626042182185804,1.1489258056686655,0.8217261688894101,0.47989156642058406,0.25502039440314267
AOA_-4_GUST_20,1.8035509977077229,0.6895456636196479,-2.372094457273227,-1.6234406050439836,-1.6742105932511917,-1.5128104408998655,-0.2194621145308292,1.1568204882708415,0.8308572481442629,0.48565197408503186,0.2542921010439311
AOA_-4_GUST_20,1.8071505176972267,0.6970657289309123,-2.340951218668427,-1.5885249346485812,-1.6443748380147907,-1.487223167180601,-0.21394331482876522,1.1614888678391777,0.8350249774707766,0.4862474407617643,0.24847832675349485
AOA_-4_GUST_20,1.7918539596178633,0.6972681370614865,-2.248104399129199,-1.552626060694441,-1.6094009682408101,-1.457816717326717,-0.2024598335435679,1.1667816329885012,0.8380064067305747,0.4840183872756485,0.2370489909071081
AOA_-4_GUST_20,1.7560875123543935,0.6913042345765273,-2.115673124161604,-1.5120771347804762,-1.5671930822936504,-1.4203932812904536,-0.18671208666412037,1.1680009250109311,0.8339949860661929,0.472315082315814,0.2114766551250939
AOA_-4_GUST_20,1.6937716082376684,0.6768464272371858,-1.9741740130521128,-1.4613333717161452,-1.5157492403168022,-1.3725054886971073,-0.16416480119437676,1.1659355226929855,0.8218279321420571,0.44918255788179773,0.16873095634533283
AOA_-4_GUST_20,1.6058470006793983,0.6550557912611046,-1.8213491852083337,-1.3946534278371514,-1.4442888722087457,-1.3046331795801394,-0.12456007277455951,1.1668574317369098,0.8080902489051164,0.42132175157155205,0.11573314619156808
AOA_-4_GUST_20,1.4900475871295518,0.625592952563144,-1.6698969645429533,-1.313272687781623,-1.3533261739380364,-1.2182076019195236,-0.07086366617365082,1.1654672213825938,0.7851366088401197,0.38119749854529383,0.045951510202782334
AOA_-4_GUST_20,1.3520543967438936,0.5905023295604345,-1.5303595305852262,-1.2199173049684862,-1.2454470877257369,-1.117513242907422,-0.00031482883768603476,1.16280059188084,0.7547896187339238,0.3318021510960214,-0.03654866735791131
AOA_-4_GUST_20,1.2117948608265527,0.5561703458246213,-1.402729698330836,-1.1217462670268268,-1.1303558221659835,-1.0088294678884109,0.0803911980941084,1.158397952837833,0.7210409024639021,0.2816648706324778,-0.11787976193379479
AOA_-4_GUST_20,1.084652235038604,0.5270946194212062,-1.2899159422322843,-1.0238913094074347,-1.0149487884767874,-0.8994640893411463,0.16770001759658917,1.1545608154248905,0.6884031156736373,0.23724985957283265,-0.18808635770058663
AOA_-4_GUST_20,0.990054889939964,0.5092298856988816,-1.1946290449773682,-0.9310586441771627,-0.9043909799650587,-0.7935926677778102,0.2564414467109205,1.1541702347583553,0.6622630690702433,0.2045844816781196,-0.23723540062604548
